queryId,method,intent,strategy,latencyMs,precisionAt5,recallAt5,mrr,ndcgAt10,relevantCount,error
q001,bm25,exact-title,bm25,63.322100000277715,0.2,0.08333333333333333,1.0,0.22009176629808017,12,
q002,bm25,exact-title,bm25,80.60619999969276,0.4,0.16666666666666666,1.0,0.3589542101716347,12,
q003,bm25,exact-title,bm25,57.08429999958753,0.4,0.16666666666666666,1.0,0.31488013066763093,12,
q004,bm25,exact-title,bm25,50.35630000020319,0.4,0.16666666666666666,1.0,0.31488013066763093,12,
q005,bm25,exact-title,bm25,41.29540000030829,0.2,0.08333333333333333,1.0,0.22009176629808017,12,
q006,bm25,exact-title,bm25,43.22439999987182,0.4,0.16666666666666666,1.0,0.42520843362602373,12,
q007,bm25,exact-title,bm25,40.15389999995023,0.2,0.08333333333333333,1.0,0.22009176629808017,12,
q008,bm25,exact-title,bm25,50.327999999808526,0.4,0.16666666666666666,1.0,0.3589542101716347,12,
q009,bm25,exact-title,bm25,51.79569999972955,0.2,0.08333333333333333,1.0,0.2934556883974402,12,
q010,bm25,exact-title,bm25,25.616200000058598,0.2,0.08333333333333333,1.0,0.22009176629808017,12,
q011,bm25,author-work,bm25,64.11639999987528,0.8,0.3333333333333333,1.0,0.725452110735279,12,
q012,bm25,author-work,bm25,49.14989999997488,0.4,0.16666666666666666,0.5,0.3222722491219547,12,
q013,bm25,author-work,bm25,60.506400000122085,0.2,0.08333333333333333,1.0,0.22009176629808017,12,
q014,bm25,author-work,bm25,70.4382999997506,0.4,0.16666666666666666,1.0,0.31488013066763093,12,
q015,bm25,author-work,bm25,53.75869999988936,0.6,0.25,1.0,0.7951657524814092,12,
q016,bm25,author-work,bm25,52.509899999677145,0.2,0.08333333333333333,1.0,0.22009176629808017,12,
q017,bm25,author-work,bm25,60.474299999896175,0.2,0.08333333333333333,1.0,0.28371255449703187,12,
q018,bm25,author-work,bm25,48.75410000022384,0.2,0.08333333333333333,1.0,0.4341754806679218,12,
q019,bm25,author-work,bm25,61.37539999963337,0.2,0.08333333333333333,0.3333333333333333,0.11004588314904008,12,
q020,bm25,author-work,bm25,59.19439999979659,0.4,0.16666666666666666,0.5,0.3845937724137609,12,
q021,bm25,theme-cn,bm25,79.80739999993602,0.6,0.25,0.5,0.3340514446642156,12,
q022,bm25,theme-cn,bm25,61.521000000084314,0.4,0.16666666666666666,0.25,0.2435522702101235,12,
q023,bm25,theme-cn,bm25,102.83980000031079,0.0,0.0,0.125,0.06943122193677727,12,
q024,bm25,theme-cn,bm25,51.725100000112434,0.0,0.0,0.16666666666666666,0.2848142012137644,12,
q025,bm25,theme-cn,bm25,147.27189999985058,0.0,0.0,0.14285714285714285,0.07336392209936005,12,
q026,bm25,theme-cn,bm25,70.60849999970742,0.2,0.08333333333333333,1.0,0.22009176629808017,12,
q027,bm25,theme-cn,bm25,37.33920000013313,0.0,0.0,0.0,0.0,12,
q028,bm25,theme-cn,bm25,54.662999999891326,0.2,0.08333333333333333,0.3333333333333333,0.17947710508581735,12,
q029,bm25,theme-cn,bm25,99.53769999992801,0.2,0.08333333333333333,0.2,0.15457433957839825,12,
q030,bm25,theme-cn,bm25,50.34040000009554,0.6,0.25,1.0,0.5271064966405455,12,
q031,bm25,theme-en,bm25,58.34499999991749,0.2,0.08333333333333333,1.0,0.5711601909662336,12,
q032,bm25,theme-en,bm25,64.45010000015827,0.2,0.08333333333333333,1.0,0.22009176629808017,12,
q033,bm25,theme-en,bm25,47.88520000010976,0.4,0.16666666666666666,1.0,0.7100226348397882,12,
q034,bm25,theme-en,bm25,59.99530000008235,0.6,0.25,1.0,0.4440973278132557,12,
q035,bm25,theme-en,bm25,58.76829999988331,0.2,0.08333333333333333,1.0,0.22009176629808017,12,
